"customer_id","gender","age","married","state","number_of_referrals","tenure_in_months","value_deal","phone_service","multiple_lines","internet_service","internet_type","online_security","online_backup","device_protection_plan","premium_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","customer_status","churn_category","churn_reason"
"79905-UTT","Female",24,"No","Uttar Pradesh",0,12,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.45,20.45,0.00,0.00,30.09,50.54,"Joined","Others","Others"
"71509-HAR","Female",40,"No","Haryana",3,27,"None","Yes","No","Yes","DSL","No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",54.65,54.65,0.00,0.00,36.33,90.98,"Joined","Others","Others"
"62535-AND","Male",42,"No","Andhra Pradesh",8,22,"Deal 5","Yes","No","Yes","Cable","No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","No","Credit Card",70.70,225.65,0.00,0.00,75.12,300.77,"Joined","Others","Others"
"45978-GUJ","Female",38,"Yes","Gujarat",2,19,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.75,44.20,0.00,0.00,55.34,99.54,"Joined","Others","Others"
"91835-GUJ","Male",21,"Yes","Gujarat",12,5,"None","Yes","No","Yes","Cable","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",75.50,75.50,0.00,0.00,5.63,81.13,"Joined","Others","Others"
"98788-TAM","Male",58,"Yes","Tamil Nadu",4,16,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Mailed Check",20.05,39.25,0.00,0.00,13.70,52.95,"Joined","Others","Others"
"48018-RAJ","Male",39,"No","Rajasthan",1,14,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.55,19.55,0.00,0.00,30.63,50.18,"Joined","Others","Others"
"31601-DEL","Female",31,"Yes","Delhi",2,10,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.65,19.65,0.00,0.00,42.42,62.07,"Joined","Others","Others"
"74651-WES","Female",30,"Yes","West Bengal",7,23,"None","No","No","Yes","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card",29.20,98.50,0.00,0.00,0.00,98.50,"Joined","Others","Others"
"42358-BIH","Female",53,"No","Bihar",9,35,"Deal 5","Yes","No","Yes","DSL","No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",54.20,140.40,0.00,0.00,124.14,264.54,"Joined","Others","Others"
"71564-KAR","Female",48,"No","Karnataka",6,5,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.05,19.05,0.00,0.00,5.02,24.07,"Joined","Others","Others"
"22137-KAR","Female",51,"No","Karnataka",4,28,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","One Year","No","Credit Card",19.85,19.85,0.00,0.00,47.46,67.31,"Joined","Others","Others"
"44709-WES","Female",72,"Yes","West Bengal",7,17,"None","No","No","Yes","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",30.75,82.85,0.00,0.00,0.00,82.85,"Joined","Others","Others"
"27856-UTT","Female",33,"Yes","Uttar Pradesh",1,32,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal",19.25,19.25,0.00,0.00,9.44,28.69,"Joined","Others","Others"
"26567-UTT","Female",67,"Yes","Uttar Pradesh",1,35,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Two Year","No","Credit Card",20.35,20.35,0.00,0.00,30.09,50.44,"Joined","Others","Others"
"27465-JAM","Female",50,"No","Jammu & Kashmir",10,30,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.85,19.85,0.00,0.00,16.47,36.32,"Joined","Others","Others"
"54195-MAH","Female",61,"Yes","Maharashtra",11,23,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal",19.75,19.75,0.00,0.00,37.62,57.37,"Joined","Others","Others"
"94978-PUN","Female",36,"No","Punjab",2,8,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","One Year","Yes","Credit Card",19.45,69.25,0.00,0.00,8.34,77.59,"Joined","Others","Others"
"38748-AND","Female",22,"Yes","Andhra Pradesh",13,6,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal",19.65,19.65,0.00,0.00,27.88,47.53,"Joined","Others","Others"
"78918-BIH","Female",59,"No","Bihar",12,11,"Deal 5","Yes","No","Yes","Fiber Optic","Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card",86.05,244.85,0.00,0.00,54.78,299.63,"Joined","Others","Others"
"99515-ASS","Male",34,"No","Assam",11,11,"None","Yes","Yes","Yes","Cable","No","No","No","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card",65.25,209.90,0.00,0.00,128.04,337.94,"Joined","Others","Others"
"26902-TEL","Male",52,"Yes","Telangana",7,2,"None","Yes","No","Yes","Fiber Optic","No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",95.85,95.85,0.00,0.00,2.70,98.55,"Joined","Others","Others"
"97497-RAJ","Male",24,"Yes","Rajasthan",9,8,"Deal 5","Yes","No","Yes","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",49.90,49.90,0.00,0.00,6.35,56.25,"Joined","Others","Others"
"28317-MAD","Female",29,"Yes","Madhya Pradesh",14,6,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Two Year","No","Mailed Check",19.10,52.00,0.00,0.00,135.99,187.99,"Joined","Others","Others"
"32063-UTT","Female",63,"Yes","Uttar Pradesh",6,31,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",19.00,19.00,0.00,0.00,28.28,47.28,"Joined","Others","Others"
"84843-MAD","Female",57,"Yes","Madhya Pradesh",11,8,"None","Yes","Yes","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",75.10,75.10,0.00,0.00,4.53,79.63,"Joined","Others","Others"
"43920-RAJ","Female",38,"No","Rajasthan",9,3,"Deal 5","Yes","No","Yes","Cable","Yes","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card",49.90,49.90,0.00,0.00,9.00,58.90,"Joined","Others","Others"
"94609-HAR","Female",45,"No","Haryana",1,11,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.65,60.65,0.00,0.00,91.02,151.67,"Joined","Others","Others"
"48939-BIH","Female",38,"Yes","Bihar",1,6,"None","Yes","No","Yes","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",49.95,49.95,0.00,0.00,44.98,94.93,"Joined","Others","Others"
"67882-UTT","Female",44,"No","Uttar Pradesh",3,16,"Deal 5","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",43.80,43.80,0.00,0.00,37.50,81.30,"Joined","Others","Others"
"18015-ODI","Female",28,"Yes","Odisha",15,9,"None","Yes","No","Yes","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",49.90,49.90,0.00,0.00,14.93,64.83,"Joined","Others","Others"
"12257-ASS","Female",39,"No","Assam",9,1,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",19.55,19.55,0.00,0.00,10.20,29.75,"Joined","Others","Others"
"78253-GUJ","Male",63,"No","Gujarat",13,30,"None","Yes","No","Yes","Fiber Optic","No","Yes","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",85.00,85.00,0.00,0.00,15.20,100.20,"Joined","Others","Others"
"66868-HAR","Female",25,"Yes","Haryana",13,10,"None","Yes","No","Yes","Fiber Optic","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal",70.25,70.25,0.00,10.00,10.05,90.30,"Joined","Others","Others"
"33776-BIH","Male",32,"Yes","Bihar",6,10,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.20,19.20,0.00,0.00,35.88,55.08,"Joined","Others","Others"
"16931-BIH","Female",39,"Yes","Bihar",8,23,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",19.30,19.30,0.00,0.00,8.66,27.96,"Joined","Others","Others"
"74518-ODI","Female",27,"No","Odisha",13,13,"Deal 5","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",44.45,82.70,0.00,0.00,37.40,120.10,"Joined","Others","Others"
"83486-MAH","Male",34,"No","Maharashtra",5,4,"Deal 5","Yes","No","Yes","Fiber Optic","No","No","Yes","No","No","No","No","Yes","Month-to-Month","No","Credit Card",75.35,75.35,0.00,0.00,38.89,114.24,"Joined","Others","Others"
"38663-UTT","Male",42,"No","Uttar Pradesh",7,15,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.30,40.25,0.00,0.00,14.54,54.79,"Joined","Others","Others"
"44655-TEL","Male",41,"Yes","Telangana",0,25,"None","Yes","No","Yes","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Mailed Check",50.50,147.75,0.00,0.00,79.14,226.89,"Joined","Others","Others"
"11751-TAM","Female",18,"No","Tamil Nadu",5,7,"Deal 5","No","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Mailed Check",24.30,38.45,0.00,0.00,0.00,38.45,"Joined","Others","Others"
"45213-AND","Female",25,"Yes","Andhra Pradesh",15,5,"Deal 5","Yes","No","Yes","Cable","Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card",61.20,125.95,0.00,0.00,64.12,190.07,"Joined","Others","Others"
"21165-DEL","Female",38,"No","Delhi",2,32,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.95,38.15,0.00,0.00,69.14,107.29,"Joined","Others","Others"
"83113-GUJ","Male",35,"No","Gujarat",8,30,"None","No","No","Yes","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card",29.15,29.15,0.00,0.00,0.00,29.15,"Joined","Others","Others"
"34319-UTT","Male",40,"Yes","Uttar Pradesh",12,25,"Deal 5","Yes","No","Yes","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card",50.15,50.15,0.00,0.00,20.30,70.45,"Joined","Others","Others"
"73044-KAR","Male",23,"Yes","Karnataka",15,5,"None","Yes","No","Yes","Fiber Optic","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card",74.60,74.60,0.00,0.00,42.99,117.59,"Joined","Others","Others"
"71689-PUN","Female",42,"Yes","Punjab",3,19,"None","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card",43.95,43.95,0.00,0.00,45.59,89.54,"Joined","Others","Others"
"78885-TAM","Female",43,"No","Tamil Nadu",2,5,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.50,19.50,0.00,0.00,20.11,39.61,"Joined","Others","Others"
"65987-TAM","Male",52,"Yes","Tamil Nadu",9,34,"Deal 5","Yes","Yes","Yes","DSL","Yes","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",61.15,61.15,0.00,0.00,17.07,78.22,"Joined","Others","Others"
"94070-JAM","Female",21,"Yes","Jammu & Kashmir",8,3,"None","Yes","No","Yes","Fiber Optic","No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",90.10,90.10,0.00,0.00,24.33,114.43,"Joined","Others","Others"
"85031-RAJ","Female",60,"No","Rajasthan",1,4,"Deal 5","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",44.00,44.00,0.00,0.00,13.40,57.40,"Joined","Others","Others"
"72469-MAD","Male",56,"No","Madhya Pradesh",9,9,"None","Yes","No","Yes","Cable","Yes","No","Yes","No","No","No","No","Yes","Month-to-Month","No","Credit Card",55.70,55.70,0.00,0.00,17.68,73.38,"Joined","Others","Others"
"46792-MAD","Female",59,"Yes","Madhya Pradesh",6,25,"Deal 5","No","No","Yes","DSL","No","No","Yes","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card",35.90,35.90,0.00,0.00,0.00,35.90,"Joined","Others","Others"
"28873-TAM","Male",55,"No","Tamil Nadu",7,4,"Deal 3","Yes","No","Yes","Fiber Optic","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",74.95,151.75,0.00,0.00,7.52,159.27,"Joined","Others","Others"
"95748-UTT","Male",22,"Yes","Uttar Pradesh",5,4,"Deal 5","Yes","Yes","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check",25.40,25.40,0.00,0.00,32.73,58.13,"Joined","Others","Others"
"23683-TEL","Male",26,"No","Telangana",10,16,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",20.25,20.25,0.00,0.00,42.96,63.21,"Joined","Others","Others"
"84789-PUN","Male",46,"No","Punjab",9,19,"Deal 5","Yes","No","Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",107.95,318.60,0.00,0.00,37.98,356.58,"Joined","Others","Others"
"84508-TAM","Female",28,"Yes","Tamil Nadu",11,28,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",21.10,21.10,0.00,0.00,18.81,39.91,"Joined","Others","Others"
"98301-WES","Male",28,"Yes","West Bengal",4,27,"None","Yes","No","Yes","Cable","Yes","No","Yes","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",53.45,119.50,0.00,0.00,25.18,144.68,"Joined","Others","Others"
"16068-BIH","Female",44,"Yes","Bihar",4,25,"Deal 5","No","No","Yes","DSL","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal",25.25,25.25,0.00,10.00,0.00,35.25,"Joined","Others","Others"
"42768-TAM","Female",45,"No","Tamil Nadu",13,14,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.40,19.40,0.00,0.00,2.85,22.25,"Joined","Others","Others"
"46619-RAJ","Male",25,"No","Rajasthan",1,14,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","One Year","No","Credit Card",20.40,20.40,0.00,0.00,27.50,47.90,"Joined","Others","Others"
"84613-BIH","Female",30,"No","Bihar",8,22,"Deal 5","Yes","Yes","Yes","Fiber Optic","No","Yes","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",79.15,79.15,0.00,60.00,18.00,157.15,"Joined","Others","Others"
"91320-PUD","Female",58,"No","Puducherry",0,18,"None","Yes","No","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal",70.10,70.10,0.00,0.00,1.15,71.25,"Joined","Others","Others"
"39540-BIH","Female",34,"No","Bihar",12,13,"None","Yes","No","Yes","Cable","No","No","No","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card",49.05,49.05,0.00,0.00,25.77,74.82,"Joined","Others","Others"
"19539-PUN","Female",37,"Yes","Punjab",14,8,"Deal 5","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card",45.40,45.40,0.00,0.00,49.33,94.73,"Joined","Others","Others"
"23256-HAR","Female",32,"Yes","Haryana",10,31,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal",19.85,52.00,0.00,0.00,72.10,124.10,"Joined","Others","Others"
"66164-CHH","Female",62,"No","Chhattisgarh",13,20,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.40,61.05,0.00,0.00,13.30,74.35,"Joined","Others","Others"
"45038-BIH","Female",25,"Yes","Bihar",7,14,"None","Yes","No","Yes","Fiber Optic","Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal",74.55,233.65,0.00,0.00,30.30,263.95,"Joined","Others","Others"
"58974-MAD","Male",34,"No","Madhya Pradesh",11,14,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.30,41.20,0.00,0.00,25.36,66.56,"Joined","Others","Others"
"94243-TAM","Female",34,"No","Tamil Nadu",5,15,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",19.90,19.90,0.00,0.00,7.76,27.66,"Joined","Others","Others"
"92398-AND","Male",35,"No","Andhra Pradesh",5,12,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",20.00,61.70,0.00,0.00,46.11,107.81,"Joined","Others","Others"
"84535-TAM","Male",46,"No","Tamil Nadu",2,36,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check",20.40,42.90,0.00,0.00,99.06,141.96,"Joined","Others","Others"
"72971-TAM","Female",81,"No","Tamil Nadu",6,8,"None","Yes","No","Yes","Fiber Optic","No","No","No","Yes","No","No","No","Yes","One Year","No","Bank Withdrawal",74.70,74.70,0.00,0.00,27.65,102.35,"Joined","Others","Others"
"56554-RAJ","Female",29,"Yes","Rajasthan",0,11,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",19.75,19.75,0.00,0.00,10.22,29.97,"Joined","Others","Others"
"86362-ASS","Female",35,"Yes","Assam",15,11,"None","Yes","No","Yes","Fiber Optic","No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Mailed Check",74.30,74.30,0.00,0.00,39.55,113.85,"Joined","Others","Others"
"64327-AND","Female",59,"Yes","Andhra Pradesh",8,9,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",20.65,20.65,0.00,0.00,35.24,55.89,"Joined","Others","Others"
"28239-UTT","Female",55,"Yes","Uttar Pradesh",0,5,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.95,19.95,0.00,0.00,38.84,58.79,"Joined","Others","Others"
"46571-HAR","Female",65,"Yes","Haryana",8,33,"Deal 5","Yes","Yes","Yes","Fiber Optic","No","No","No","No","No","Yes","No","Yes","Two Year","Yes","Bank Withdrawal",84.05,186.05,0.00,0.00,43.80,229.85,"Joined","Others","Others"
"42574-ASS","Female",25,"No","Assam",5,3,"Deal 4","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",19.55,19.55,0.00,0.00,8.23,27.78,"Joined","Others","Others"
"71261-TAM","Female",59,"No","Tamil Nadu",2,27,"None","Yes","No","Yes","Cable","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal",70.45,70.45,0.00,0.00,20.10,90.55,"Joined","Others","Others"
"14567-TAM","Male",43,"No","Tamil Nadu",1,9,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.35,20.35,0.00,0.00,44.09,64.44,"Joined","Others","Others"
"77688-TAM","Male",35,"No","Tamil Nadu",4,13,"None","Yes","No","Yes","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card",49.00,49.00,0.00,0.00,49.19,98.19,"Joined","Others","Others"
"53612-UTT","Female",39,"Yes","Uttar Pradesh",8,34,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card",20.85,72.00,0.00,0.00,35.31,107.31,"Joined","Others","Others"
"13058-MAD","Female",58,"No","Madhya Pradesh",13,22,"Deal 1","Yes","No","Yes","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Mailed Check",46.10,130.15,0.00,0.00,7.98,138.13,"Joined","Others","Others"
"23729-UTT","Female",58,"No","Uttar Pradesh",14,19,"Deal 5","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card",19.65,38.80,0.00,0.00,19.22,58.02,"Joined","Others","Others"
"12136-RAJ","Female",25,"Yes","Rajasthan",2,35,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal",19.90,19.90,0.00,0.00,11.83,31.73,"Joined","Others","Others"
"35658-JHA","Male",35,"No","Jharkhand",2,16,"None","Yes","No","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Mailed Check",20.45,20.45,0.00,0.00,39.61,60.06,"Joined","Others","Others"
"63487-MAH","Female",36,"Yes","Maharashtra",8,34,"None","Yes","No","Yes","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card",44.75,44.75,0.00,0.00,40.87,85.62,"Joined","Others","Others"
